quarter,Categ_name,cci,DI,CS,GT,vix,3m Bond,CPI
2011Q2,Major Kitchen Appliances: 1293,-20.83333333333333,5943,1315,-4.666666666666657,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Home Financing: 466,-20.83333333333333,5943,698,-5.333333333333343,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Wine: 405,-20.83333333333333,5943,1908,0.6666666666666785,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Transportation & Logistics: 50,-20.83333333333333,5943,1977,-0.3333333333333428,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Meat & Seafood: 909,-20.83333333333333,5943,4615,-3.3333333333333144,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Audio Equipment: 361,-20.83333333333333,5943,1269,-5.0,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Fruits & Vegetables: 908,-20.83333333333333,5943,5114,1.3333333333333428,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Domestic Services: 472,-20.83333333333333,5943,1022,-2.3333333333333144,-2.406666666666668,-0.031333333333333324,1.5
2011Q3,Wine: 405,-23.2,5835,1890,1.6666666666666643,12.71,-0.03833333333333322,0.5
2011Q3,Domestic Services: 472,-23.2,5835,988,0.0,12.71,-0.03833333333333322,0.5
2011Q3,Apparel: 68,-23.2,5835,13182,-0.6666666666666714,12.71,-0.03833333333333322,0.5
2011Q3,Meat & Seafood: 909,-23.2,5835,4741,0.3333333333333144,12.71,-0.03833333333333322,0.5
2011Q3,Candy & Sweets: 906,-23.2,5835,2260,-2.6666666666666856,12.71,-0.03833333333333322,0.5
2011Q3,Major Kitchen Appliances: 1293,-23.2,5835,1413,4.333333333333314,12.71,-0.03833333333333322,0.5
2011Q3,Education: 74,-23.2,5835,4178,-6.0,12.71,-0.03833333333333322,0.5
2011Q3,Home Financing: 466,-23.2,5835,704,0.0,12.71,-0.03833333333333322,0.5
2011Q3,Beer: 404,-23.2,5835,1020,2.0,12.71,-0.03833333333333322,0.5
2011Q3,Audio Equipment: 361,-23.2,5835,1234,0.6666666666666572,12.71,-0.03833333333333322,0.5
2011Q3,Home Insurance: 465,-23.2,5835,1484,1.6666666666666856,12.71,-0.03833333333333322,0.5
2011Q3,Drugs & Medications: 646,-23.2,5835,1300,0.3333333333333286,12.71,-0.03833333333333322,0.5
2011Q3,Clothing Accessories: 124,-23.2,5835,2311,1.6666666666666856,12.71,-0.03833333333333322,0.5
2011Q3,Vehicle Fuels & Lubricants: 1269,-23.2,5835,8851,-2.333333333333343,12.71,-0.03833333333333322,0.5
2011Q3,Sporting Goods: 263,-23.2,5835,792,0.6666666666666714,12.71,-0.03833333333333322,0.5
2011Q3,Air Travel: 203,-23.2,5835,4175,1.6666666666666643,12.71,-0.03833333333333322,0.5
2011Q3,Transportation & Logistics: 50,-23.2,5835,2072,0.3333333333333428,12.71,-0.03833333333333322,0.5
2011Q3,Mail & Package Delivery: 1150,-23.2,5835,192,-0.6666666666666856,12.71,-0.03833333333333322,0.5
2011Q3,Small Kitchen Appliances: 1292,-23.2,5835,299,1.6666666666666856,12.71,-0.03833333333333322,0.5
2011Q3,Health Insurance: 249,-23.2,5835,627,-2.0,12.71,-0.03833333333333322,0.5
2011Q3,Mobile & Wireless: 382,-23.2,5835,193,0.3333333333333286,12.71,-0.03833333333333322,0.5
2011Q3,Camera & Photo Equipment: 573,-23.2,5835,831,-1.0,12.71,-0.03833333333333322,0.5
2011Q3,Hotels & Accommodations: 179,-23.2,5835,3968,1.6666666666666572,12.71,-0.03833333333333322,0.5
2011Q3,Animal Products & Services: 882,-23.2,5835,1090,2.0,12.71,-0.03833333333333322,0.5
2011Q3,Lottery & Sweepstakes: 364,-23.2,5835,2525,10.666666666666657,12.71,-0.03833333333333322,0.5
2011Q3,Hobbies & Leisure: 65,-23.2,5835,2295,0.3333333333333286,12.71,-0.03833333333333322,0.5
2011Q3,Automotive Industry: 1190,-23.2,5835,8692,-1.0,12.71,-0.03833333333333322,0.5
2011Q3,Tobacco Products: 123,-23.2,5835,4609,1.0,12.71,-0.03833333333333322,0.5
2011Q3,Bicycles & Accessories: 1191,-23.2,5835,352,-1.6666666666666714,12.71,-0.03833333333333322,0.5
2011Q3,Home Furnishings: 270,-23.2,5835,3057,3.666666666666657,12.71,-0.03833333333333322,0.5
2011Q3,Electricity: 658,-23.2,5835,3510,5.333333333333329,12.71,-0.03833333333333322,0.5
2011Q3,Non-Alcoholic Beverages: 560,-23.2,5835,2480,-0.3333333333333428,12.71,-0.03833333333333322,0.5
2011Q3,Baked Goods: 907,-23.2,5835,3327,1.3333333333333357,12.71,-0.03833333333333322,0.5
2011Q3,Fruits & Vegetables: 908,-23.2,5835,5379,5.0,12.71,-0.03833333333333322,0.5
2011Q3,Apartments & Residential Rentals: 378,-23.2,5835,57894,6.333333333333329,12.71,-0.03833333333333322,0.5
2011Q3,Kitchen & Dining: 951,-23.2,5835,1441,2.0,12.71,-0.03833333333333322,0.5
2011Q3,Vehicle Parts & Accessories: 89,-23.2,5835,1020,-2.333333333333343,12.71,-0.03833333333333322,0.5
2011Q3,Restaurants: 276,-23.2,5835,18190,1.6666666666666572,12.71,-0.03833333333333322,0.5
2011Q3,Auto Insurance: 467,-23.2,5835,1046,-0.6666666666666856,12.71,-0.03833333333333322,0.5
2011Q3,Vehicle Maintenance: 138,-23.2,5835,5047,-2.3333333333333286,12.71,-0.03833333333333322,0.5
2011Q3,Water Supply & Treatment: 1349,-23.2,5835,1038,-0.6666666666666679,12.71,-0.03833333333333322,0.5
2011Q3,Motorcycles: 273,-23.2,5835,134,-4.666666666666657,12.71,-0.03833333333333322,0.5
2011Q3,Liquor: 406,-23.2,5835,1141,2.333333333333343,12.71,-0.03833333333333322,0.5
2011Q4,Major Kitchen Appliances: 1293,-25.96666666666667,5917,1324,4.0,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Clothing Accessories: 124,-25.96666666666667,5917,2342,14.666666666666657,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Beer: 404,-25.96666666666667,5917,1036,-3.0,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Automotive Industry: 1190,-25.96666666666667,5917,8902,0.0,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Health Insurance: 249,-25.96666666666667,5917,608,-14.333333333333343,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Transportation & Logistics: 50,-25.96666666666667,5917,2134,-1.6666666666666856,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Vehicle Fuels & Lubricants: 1269,-25.96666666666667,5917,8945,-2.666666666666657,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Water Supply & Treatment: 1349,-25.96666666666667,5917,1053,-1.3333333333333321,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Tobacco Products: 123,-25.96666666666667,5917,4634,3.0,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Audio Equipment: 361,-25.96666666666667,5917,1180,10.0,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Bicycles & Accessories: 1191,-25.96666666666667,5917,355,-16.0,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Hotels & Accommodations: 179,-25.96666666666667,5917,4202,-9.666666666666664,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Fruits & Vegetables: 908,-25.96666666666667,5917,5138,-1.3333333333333428,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Kitchen & Dining: 951,-25.96666666666667,5917,1425,8.666666666666657,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Restaurants: 276,-25.96666666666667,5917,18215,3.333333333333343,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Domestic Services: 472,-25.96666666666667,5917,998,-3.333333333333343,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Meat & Seafood: 909,-25.96666666666667,5917,4738,14.333333333333343,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Vehicle Parts & Accessories: 89,-25.96666666666667,5917,1018,-3.333333333333343,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Liquor: 406,-25.96666666666667,5917,1142,8.666666666666657,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Mobile & Wireless: 382,-25.96666666666667,5917,211,3.0,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Home Furnishings: 270,-25.96666666666667,5917,2938,5.666666666666686,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Animal Products & Services: 882,-25.96666666666667,5917,1092,-4.0,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Home Insurance: 465,-25.96666666666667,5917,1490,-9.666666666666679,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Education: 74,-25.96666666666667,5917,4257,4.0,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Auto Insurance: 467,-25.96666666666667,5917,1074,-15.333333333333314,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Electricity: 658,-25.96666666666667,5917,3569,-2.3333333333333286,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Motorcycles: 273,-25.96666666666667,5917,125,-3.666666666666657,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Non-Alcoholic Beverages: 560,-25.96666666666667,5917,2546,9.000000000000014,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Hobbies & Leisure: 65,-25.96666666666667,5917,2187,-1.0,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Mail & Package Delivery: 1150,-25.96666666666667,5917,207,2.6666666666666714,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Apparel: 68,-25.96666666666667,5917,13306,14.0,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Lottery & Sweepstakes: 364,-25.96666666666667,5917,2447,-8.0,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Camera & Photo Equipment: 573,-25.96666666666667,5917,794,2.666666666666657,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Candy & Sweets: 906,-25.96666666666667,5917,2326,11.0,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Wine: 405,-25.96666666666667,5917,1908,8.666666666666657,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Drugs & Medications: 646,-25.96666666666667,5917,1334,0.3333333333333428,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Apartments & Residential Rentals: 378,-25.96666666666667,5917,58431,-15.333333333333343,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Home Financing: 466,-25.96666666666667,5917,729,-5.999999999999993,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Small Kitchen Appliances: 1292,-25.96666666666667,5917,320,16.666666666666657,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Air Travel: 203,-25.96666666666667,5917,4185,-10.333333333333336,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Sporting Goods: 263,-25.96666666666667,5917,774,-13.000000000000014,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Baked Goods: 907,-25.96666666666667,5917,3353,4.3333333333333215,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2011Q4,Vehicle Maintenance: 138,-25.96666666666667,5917,5272,-4.333333333333329,-3.923333333333332,-0.03566666666666673,0.9000000000000057
2012Q1,Small Kitchen Appliances: 1292,-23.03333333333333,5811,376,-11.0,-6.3233333333333315,-0.026666666666666616,0.3999999999999915
2012Q1,Kitchen & Dining: 951,-23.03333333333333,5811,1500,-4.0,-6.3233333333333315,-0.026666666666666616,0.3999999999999915
2012Q1,Water Supply & Treatment: 1349,-23.03333333333333,5811,1072,3.0,-6.3233333333333315,-0.026666666666666616,0.3999999999999915
2012Q1,Wine: 405,-23.03333333333333,5811,1965,-12.0,-6.3233333333333315,-0.026666666666666616,0.3999999999999915
2012Q1,Sporting Goods: 263,-23.03333333333333,5811,695,0.0,-6.3233333333333315,-0.026666666666666616,0.3999999999999915
2012Q1,Non-Alcoholic Beverages: 560,-23.03333333333333,5811,2618,-2.6666666666666714,-6.3233333333333315,-0.026666666666666616,0.3999999999999915
